Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Attack Type,Action Taken,Severity Level,Log Source,Anomaly Scores
-0.08050393311509212,-0.835587354934526,0,-0.6973141842336864,1,2,0,2,2,1,1,-0.7321745018004958
-0.8297880571348262,0.8126074940155872,0,0.9183550755066573,1,2,0,2,0,1,0,0.056455548527954105
-0.853049095033579,1.1057757692756498,2,-1.171661194917513,0,2,0,0,1,1,0,1.2972611292462164
-0.6811639601457902,-0.030750341623960058,2,-0.9814408200747603,1,2,1,2,0,2,0,-1.177095879296354
-1.4254635760443628,-0.34841224900917334,1,1.6118166951865665,1,0,1,0,0,1,0,-1.7045764254424525
-0.8198726377540213,1.0628849376908598,2,1.5179104341882454,1,2,1,2,2,2,1,-1.5235680389456905
-0.3304260983728904,-0.846377501245165,1,-0.995887937151425,1,0,1,0,1,0,1,-0.6326889763976954
0.09443622287921488,-0.6856043212166433,0,0.5523614428978164,1,0,0,1,2,0,0,0.14454169081168364
1.2632229819992677,-0.6607330339706203,1,1.1759953300405124,0,1,0,1,0,0,1,0.223646500940994
0.2782198610239694,0.9136572142147218,2,-1.3691051282985984,1,2,1,2,0,2,1,-1.1522244979456535
0.15065933061145387,0.10261586677553845,0,-0.31687343454818073,1,2,1,2,1,2,1,-0.8620583821874855
-1.1696993528811175,0.20032064161837496,1,-1.231857516070283,0,2,1,2,1,1,0,1.2506272892136532
1.1118118482113029,0.26673399216035826,0,-1.7543615836763256,0,0,1,1,0,2,1,0.8405949327791945
0.5896712233042751,-1.2008877582812105,0,1.32046650080716,1,2,1,2,1,1,0,0.4239992951549672
0.8075960622359089,0.11540219015364572,2,0.2899054826717397,1,0,1,2,2,0,0,0.7870523757047707
-0.4188609198773654,-0.6435227506051511,1,-0.8851267062303284,1,0,1,1,2,2,0,1.4402715720127421
0.38627113384398254,-1.5022565447373588,1,0.10931651921343005,0,2,1,0,1,0,1,-0.20849375002742096
-0.8690209597659023,0.94300641217966,1,0.42474524205394426,1,2,1,0,2,1,0,-0.32490563218278123
-1.5123440885648198,-0.3410209987863856,1,-1.6098904129096778,0,0,1,0,1,0,0,-0.17671365163485964
1.2016401881152425,-0.836720320297143,1,-0.7984440037703399,1,2,0,0,1,0,1,-1.266909200840549
-0.41912890418495474,0.24439838929733543,0,0.12617148913620563,0,0,1,2,0,2,0,1.3860381432341318
0.2825076099453985,-1.6911920066366486,2,-0.9212444989219903,0,0,0,2,0,1,1,1.2796439007894702
-1.5861469668749182,0.6999044158009624,2,1.522726139880467,1,0,1,0,2,0,1,0.7732349416210482
0.4344011154870241,-0.27455369751284914,2,-1.6243375299863427,1,2,0,2,2,2,0,1.602971858348572
0.3850384060290717,-0.32354096176315034,1,1.428819878882146,0,0,0,0,0,2,1,0.6067348609121948
-0.5202125850076456,-0.09845850972322003,2,-0.865863883461442,0,0,1,1,2,1,0,1.3815474771569223
-0.00938089788088703,-0.9486141375384699,2,-0.6298943045425841,0,1,1,2,0,0,0,1.2906978480564484
1.2798916059313235,-0.004368433894447608,1,-1.2294496632241723,0,2,0,0,2,1,0,-0.18880390645811668
1.6949457015256597,0.5504608893986117,0,1.6720130163393363,0,2,0,1,0,1,0,-0.15356944954462473
